check,region,variable,n_points,n_violations,violation_rate,max_violation,axis,mean_abs_jump,p90_abs_jump,p99_abs_jump,max_abs_jump
nonnegative_price,full,price,961,0,0.0,0.0,,,,,
nonnegative_price,non_hard,price,961,0,0.0,0.0,,,,,
nonnegative_price,short_maturity,price,0,0,,0.0,,,,,
nonnegative_price,atm,price,155,0,0.0,0.0,,,,,
nonnegative_price,hard,price,0,0,,0.0,,,,,
put_delta_upper_bound_delta_le_0,full,delta,961,1,0.001040582726326743,4.078544933078962e-05,,,,,
put_delta_upper_bound_delta_le_0,non_hard,delta,961,1,0.001040582726326743,4.078544933078962e-05,,,,,
put_delta_upper_bound_delta_le_0,short_maturity,delta,0,0,,0.0,,,,,
put_delta_upper_bound_delta_le_0,atm,delta,155,0,0.0,0.0,,,,,
put_delta_upper_bound_delta_le_0,hard,delta,0,0,,0.0,,,,,
put_delta_lower_bound_delta_ge_minus_1,full,delta,961,1,0.001040582726326743,0.00010480263085693194,,,,,
put_delta_lower_bound_delta_ge_minus_1,non_hard,delta,961,1,0.001040582726326743,0.00010480263085693194,,,,,
put_delta_lower_bound_delta_ge_minus_1,short_maturity,delta,0,0,,0.0,,,,,
put_delta_lower_bound_delta_ge_minus_1,atm,delta,155,0,0.0,0.0,,,,,
put_delta_lower_bound_delta_ge_minus_1,hard,delta,0,0,,0.0,,,,,
convexity_gamma_ge_0,full,gamma,961,234,0.24349635796045785,4.803325720349871,,,,,
convexity_gamma_ge_0,non_hard,gamma,961,234,0.24349635796045785,4.803325720349871,,,,,
convexity_gamma_ge_0,short_maturity,gamma,0,0,,0.0,,,,,
convexity_gamma_ge_0,atm,gamma,155,32,0.2064516129032258,0.8021842745558554,,,,,
convexity_gamma_ge_0,hard,gamma,0,0,,0.0,,,,,
finite_values,full,price,961,0,0.0,0.0,,,,,
finite_values,non_hard,price,961,0,0.0,0.0,,,,,
finite_values,short_maturity,price,0,0,,0.0,,,,,
finite_values,atm,price,155,0,0.0,0.0,,,,,
finite_values,hard,price,0,0,,0.0,,,,,
finite_values,full,delta,961,0,0.0,0.0,,,,,
finite_values,non_hard,delta,961,0,0.0,0.0,,,,,
finite_values,short_maturity,delta,0,0,,0.0,,,,,
finite_values,atm,delta,155,0,0.0,0.0,,,,,
finite_values,hard,delta,0,0,,0.0,,,,,
finite_values,full,gamma,961,0,0.0,0.0,,,,,
finite_values,non_hard,gamma,961,0,0.0,0.0,,,,,
finite_values,short_maturity,gamma,0,0,,0.0,,,,,
finite_values,atm,gamma,155,0,0.0,0.0,,,,,
finite_values,hard,gamma,0,0,,0.0,,,,,
finite_values,full,vega,961,0,0.0,0.0,,,,,
finite_values,non_hard,vega,961,0,0.0,0.0,,,,,
finite_values,short_maturity,vega,0,0,,0.0,,,,,
finite_values,atm,vega,155,0,0.0,0.0,,,,,
finite_values,hard,vega,0,0,,0.0,,,,,
finite_values,full,theta,961,0,0.0,0.0,,,,,
finite_values,non_hard,theta,961,0,0.0,0.0,,,,,
finite_values,short_maturity,theta,0,0,,0.0,,,,,
finite_values,atm,theta,155,0,0.0,0.0,,,,,
finite_values,hard,theta,0,0,,0.0,,,,,
finite_values,full,rho,961,0,0.0,0.0,,,,,
finite_values,non_hard,rho,961,0,0.0,0.0,,,,,
finite_values,short_maturity,rho,0,0,,0.0,,,,,
finite_values,atm,rho,155,0,0.0,0.0,,,,,
finite_values,hard,rho,0,0,,0.0,,,,,
smoothness_neighbor_jump,full,price,930,0,,,surface_x,0.005821612884483862,0.00956284367801512,0.013026156573536786,0.013333872886211573
smoothness_neighbor_jump,full,price,930,0,,,surface_y,0.004379549143390427,0.005257525486611417,0.008581763752747702,0.011358680881417275
smoothness_neighbor_jump,full,delta,930,0,,,surface_x,0.022486464071060024,0.050461281791316995,0.07886207928247711,0.13651155955287453
smoothness_neighbor_jump,full,delta,930,0,,,surface_y,0.011392936659801895,0.030529682416411567,0.0837987472025657,0.12951792114023508
smoothness_neighbor_jump,full,gamma,930,0,,,surface_x,2.4269318993439684,5.2214078995584785,8.87342180061839,11.656998262205033
smoothness_neighbor_jump,full,gamma,930,0,,,surface_y,1.1610183655450559,2.906242815396544,8.310447882970934,13.043255104263942
smoothness_neighbor_jump,full,vega,930,0,,,surface_x,0.022819704787931487,0.04718023006930346,0.0850806730899097,0.10334993983083274
smoothness_neighbor_jump,full,vega,930,0,,,surface_y,0.014679386515779248,0.04551147178189201,0.0908270622747816,0.12251538907545532
smoothness_neighbor_jump,full,theta,930,0,,,surface_x,0.0024417965048128287,0.005961034182995473,0.02283311729151942,0.03874206024616354
smoothness_neighbor_jump,full,theta,930,0,,,surface_y,0.0025308275876010943,0.005908043280361019,0.031168798730132466,0.06535242189928603
smoothness_neighbor_jump,full,rho,930,0,,,surface_x,0.019162781990921283,0.030270744406712437,0.034325265938837925,0.035662363502120265
smoothness_neighbor_jump,full,rho,930,0,,,surface_y,0.031837501723591184,0.0433146877422783,0.055596857603589345,0.06459162040960995
