check,region,variable,n_points,n_violations,violation_rate,max_violation,axis,mean_abs_jump,p90_abs_jump,p99_abs_jump,max_abs_jump,rmse,mae,p99_abs_error
nonnegative_price,full,price,961,33,0.03433922996878252,0.026861081136409608,,,,,,,,
nonnegative_price,non_hard,price,956,33,0.034518828451882845,0.026861081136409608,,,,,,,,
nonnegative_price,short_maturity,price,31,5,0.16129032258064516,0.026861081136409608,,,,,,,,
nonnegative_price,atm,price,155,0,0.0,0.0,,,,,,,,
nonnegative_price,hard,price,5,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,full,delta,961,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,non_hard,delta,956,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,short_maturity,delta,31,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,atm,delta,155,0,0.0,0.0,,,,,,,,
put_delta_upper_bound_delta_le_0,hard,delta,5,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,full,delta,961,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,non_hard,delta,956,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,short_maturity,delta,31,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,atm,delta,155,0,0.0,0.0,,,,,,,,
put_delta_lower_bound_delta_ge_minus_1,hard,delta,5,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,full,gamma,961,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,non_hard,gamma,956,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,short_maturity,gamma,31,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,atm,gamma,155,0,0.0,0.0,,,,,,,,
convexity_gamma_ge_0,hard,gamma,5,0,0.0,0.0,,,,,,,,
finite_values,full,price,961,0,0.0,0.0,,,,,,,,
finite_values,non_hard,price,956,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,price,31,0,0.0,0.0,,,,,,,,
finite_values,atm,price,155,0,0.0,0.0,,,,,,,,
finite_values,hard,price,5,0,0.0,0.0,,,,,,,,
finite_values,full,delta,961,0,0.0,0.0,,,,,,,,
finite_values,non_hard,delta,956,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,delta,31,0,0.0,0.0,,,,,,,,
finite_values,atm,delta,155,0,0.0,0.0,,,,,,,,
finite_values,hard,delta,5,0,0.0,0.0,,,,,,,,
finite_values,full,gamma,961,0,0.0,0.0,,,,,,,,
finite_values,non_hard,gamma,956,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,gamma,31,0,0.0,0.0,,,,,,,,
finite_values,atm,gamma,155,0,0.0,0.0,,,,,,,,
finite_values,hard,gamma,5,0,0.0,0.0,,,,,,,,
finite_values,full,vega,961,0,0.0,0.0,,,,,,,,
finite_values,non_hard,vega,956,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,vega,31,0,0.0,0.0,,,,,,,,
finite_values,atm,vega,155,0,0.0,0.0,,,,,,,,
finite_values,hard,vega,5,0,0.0,0.0,,,,,,,,
finite_values,full,theta,961,0,0.0,0.0,,,,,,,,
finite_values,non_hard,theta,956,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,theta,31,0,0.0,0.0,,,,,,,,
finite_values,atm,theta,155,0,0.0,0.0,,,,,,,,
finite_values,hard,theta,5,0,0.0,0.0,,,,,,,,
finite_values,full,rho,961,0,0.0,0.0,,,,,,,,
finite_values,non_hard,rho,956,0,0.0,0.0,,,,,,,,
finite_values,short_maturity,rho,31,0,0.0,0.0,,,,,,,,
finite_values,atm,rho,155,0,0.0,0.0,,,,,,,,
finite_values,hard,rho,5,0,0.0,0.0,,,,,,,,
smoothness_neighbor_jump,full,price,930,0,,,surface_x,0.006898642662248833,0.006997756056196477,0.007022877612496356,0.0070272611659489,,,
smoothness_neighbor_jump,full,price,930,0,,,surface_y,0.002918941418328497,0.0032174045017084084,0.003328798063399125,0.0033680915246787763,,,
smoothness_neighbor_jump,full,delta,930,0,,,surface_x,0.0004154924821066613,0.0006273405920599884,0.0006887511536495328,0.0006947136573230983,,,
smoothness_neighbor_jump,full,delta,930,0,,,surface_y,0.000798885905739375,0.0015031034058148938,0.001731996403036684,0.0017381826775251241,,,
smoothness_neighbor_jump,full,gamma,930,0,,,surface_x,0.0013291676576327378,0.0014119998212843807,0.001434486545942656,0.001438313383098461,,,
smoothness_neighbor_jump,full,gamma,930,0,,,surface_y,0.0002812053422573743,0.0004978744452345394,0.0005857471072807903,0.0006178257577582544,,,
smoothness_neighbor_jump,full,vega,930,0,,,surface_x,0.002573189690960763,0.0027493185896523857,0.0028023902955505815,0.0028121273719922263,,,
smoothness_neighbor_jump,full,vega,930,0,,,surface_y,0.001267978862390087,0.0019675761125652717,0.0023181677104430966,0.0024382679993146944,,,
smoothness_neighbor_jump,full,theta,930,0,,,surface_x,0.0001644017756407029,0.00030872565664104913,0.00035445853187894994,0.0003561798187637147,,,
smoothness_neighbor_jump,full,theta,930,0,,,surface_y,0.0005254716829352189,0.0010341747044904537,0.0012311467681773373,0.001293152841295924,,,
smoothness_neighbor_jump,full,rho,930,0,,,surface_x,0.015165804846554417,0.018006959386595512,0.018833519459484853,0.018968751198544354,,,
smoothness_neighbor_jump,full,rho,930,0,,,surface_y,0.01568315850611393,0.028292496083666487,0.03343317443239764,0.03486354652435253,,,
terminal_payoff_boundary,terminal,price,31,31,1.0,0.07317279242647862,,,,,,0.036808630619009464,0.03023139961382615,0.0711929238950326
lower_spot_boundary,lower_spot,price,31,31,1.0,0.42137798253553094,,,,,,0.3604158030096288,0.3587268562265343,0.42000149097811745
